incident_id,date,state,lga,incident_type,kidnapped,killed,perpetrator,region,source
71,6/20/2024,Kebbi,Jega,Kidnapping,65,22,Boko Haram,North West,Simulated (patterned on media reports)
828,8/12/2022,Kaduna,Igabi,Kidnapping,134,16,Boko Haram,North West,Simulated (patterned on media reports)
232,6/19/2023,Katsina,Funtua,Kidnapping,142,22,Unknown Gunmen,North West,Simulated (patterned on media reports)
589,3/2/2025,Plateau,Langtang North,Bandit Attack,49,32,ISWAP,North Central,Simulated (patterned on media reports)
40,1/23/2024,Kaduna,Birnin Gwari,Kidnapping,136,22,Armed Bandits,North West,Simulated (patterned on media reports)
732,12/12/2025,Yobe,Damaturu,School Abduction,40,15,Unknown Gunmen,North East,Simulated (patterned on media reports)
300,8/23/2023,Nasarawa,Karu,School Abduction,15,6,Unknown Gunmen,North Central,Simulated (patterned on media reports)
111,8/1/2024,Kano,Fagge,Terror Attack,66,31,Boko Haram,North West,Simulated (patterned on media reports)
73,2/23/2025,Imo,Orlu,Kidnapping,45,3,Unknown Gunmen,South East,Simulated (patterned on media reports)
87,8/13/2024,Yobe,Nguru,Terror Attack,80,2,Unknown Gunmen,North East,Simulated (patterned on media reports)
140,6/17/2024,Kano,Fagge,Kidnapping,127,24,Boko Haram,North West,Simulated (patterned on media reports)
534,10/25/2025,Enugu,Nsukka,Kidnapping,21,3,Criminal Syndicate,South East,Simulated (patterned on media reports)
802,3/29/2025,Katsina,Funtua,Bandit Attack,59,40,Unknown Gunmen,North West,Simulated (patterned on media reports)
121,9/10/2022,Borno,Bama,Kidnapping,75,0,Unknown Gunmen,North East,Simulated (patterned on media reports)
712,8/1/2025,Sokoto,Isa,Kidnapping,103,11,Armed Bandits,North West,Simulated (patterned on media reports)
591,9/21/2020,Borno,Monguno,Bandit Attack,35,39,Armed Bandits,North East,Simulated (patterned on media reports)
169,5/2/2020,Sokoto,Isa,Kidnapping,35,21,Armed Bandits,North West,Simulated (patterned on media reports)
423,11/4/2025,Kebbi,Yauri,School Abduction,110,0,ISWAP,North West,Simulated (patterned on media reports)
448,10/28/2021,Sokoto,Wurno,Bandit Attack,73,34,Armed Bandits,North West,Simulated (patterned on media reports)
68,5/8/2021,Kebbi,Yauri,School Abduction,124,19,ISWAP,North West,Simulated (patterned on media reports)
